country,survey,unit_name,unit_code,entries_count,priority
MWI,IHS5,LARGE SATCHET,22C,0,2
MWI,IHS5,OTHER SPECIFY,23,0,1
MWI,IHS5,SACHET LARGE,22C,0,2
MWI,IHS5,PACKET 150 GRAMS,34,0,1
MWI,IHS5,BASIN LARGE,97C,0,4
MWI,IHS5,BASIN MEDIUM,27B,0,4
MWI,IHS5,TIN 1 KG,74,0,4
MWI,IHS5,PACKET 2KG,37B,0,4
MWI,IHS5,60 GRAM,99F,0,3
MWI,IHS5,300 GRAM,99G,0,3
MWI,IHS5,MEDIUM SARCHET,22B,0,2
