country,survey,item_code_code,item_code_name,priority,source,standard_food_code,standard_food_name
MWI,IHS5,838,CASSAVA - ROASTED (VENDOR),1,MWI-IHS5-standard-list,838,CASSAVA - ROASTED (VENDOR)
MWI,IHS5,901,TEA,1,MWI-IHS5-standard-list,901,TEA
MWI,IHS5,902,COFFEE,1,MWI-IHS5-standard-list,902,COFFEE
MWI,IHS5,903,"COCOA, MILO",1,MWI-IHS5-standard-list,903,"COCOA, MILO"
MWI,IHS5,904,SQUASH (SOBO DRINK CONCENTRATE),1,MWI-IHS5-standard-list,904,SQUASH (SOBO DRINK CONCENTRATE)
MWI,IHS5,905,FRUIT JUICE,1,MWI-IHS5-standard-list,905,FRUIT JUICE
MWI,IHS5,906,FREEZES (FLAVOURED ICE),1,MWI-IHS5-standard-list,906,FREEZES (FLAVOURED ICE)
MWI,IHS5,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)",1,MWI-IHS5-standard-list,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)"
MWI,IHS5,908,CHIBUKU(COMMERCIAL TRADITIONAL-STYLE BEER),1,MWI-IHS5-standard-list,908,CHIBUKU(COMMERCIAL TRADITIONAL-STYLE BEER)
MWI,IHS5,909,BOTTLED WATER,1,MWI-IHS5-standard-list,909,BOTTLED WATER
MWI,IHS5,910,MAHEU,1,MWI-IHS5-standard-list,910,MAHEU
MWI,IHS5,911,"BOTTLED / CANNED BEER (CARLSBERG, ETC)",1,MWI-IHS5-standard-list,911,"BOTTLED / CANNED BEER (CARLSBERG, ETC)"
MWI,IHS5,912,THOBWA,1,MWI-IHS5-standard-list,912,THOBWA
MWI,IHS5,913,TRADITIONAL BEER (MASESE),1,MWI-IHS5-standard-list,913,TRADITIONAL BEER (MASESE)
MWI,IHS5,914,WINE OR COMMERCIAL LIQUOR,1,MWI-IHS5-standard-list,914,WINE OR COMMERCIAL LIQUOR
MWI,IHS5,915,LOCALLY BREWED LIQUOR (KACHASU ),1,MWI-IHS5-standard-list,915,LOCALLY BREWED LIQUOR (KACHASU )
MWI,IHS5,5021,SUN DRIED FISH (LARGE VARIETY),1,MWI-IHS5-standard-list,5021,SUN DRIED FISH (LARGE VARIETY)
MWI,IHS5,5022,SUN DRIED FISH (MEDIUM VARIETY),1,MWI-IHS5-standard-list,5022,SUN DRIED FISH (MEDIUM VARIETY)
MWI,IHS5,5023,SUN DRIED FISH (SMALL VARIETY),1,MWI-IHS5-standard-list,5023,SUN DRIED FISH (SMALL VARIETY)
MWI,IHS5,5031,FRESH FISH (LARGE VARIETY),1,MWI-IHS5-standard-list,5031,FRESH FISH (LARGE VARIETY)
MWI,IHS5,5032,FRESH FISH (MEDIUM VARIETY),1,MWI-IHS5-standard-list,5032,FRESH FISH (MEDIUM VARIETY)
MWI,IHS5,5033,FRESH FISH (SMALL VARIETY),1,MWI-IHS5-standard-list,5033,FRESH FISH (SMALL VARIETY)
MWI,IHS5,5121,SMOKED FISH (LARGE VARIETY),1,MWI-IHS5-standard-list,5121,SMOKED FISH (LARGE VARIETY)
MWI,IHS5,5122,SMOKED FISH (MEDIUM VARIETY),1,MWI-IHS5-standard-list,5122,SMOKED FISH (MEDIUM VARIETY)
MWI,IHS5,5123,SMOKED FISH (SMALL VARIETY),1,MWI-IHS5-standard-list,5123,SMOKED FISH (SMALL VARIETY)
MWI,IHS5,103,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR PROCESSED),5,ihs5_conversion_factors_GO,103,MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)
MWI,IHS5,106,RICE UNSPECIFIED,5,ihs5_conversion_factors_GO,106,RICE
MWI,IHS5,112,"BUNS, SCONES YELLOW",5,ihs5_conversion_factors_GO,112,"BUNS, SCONES"
MWI,IHS5,118,MAIZE UFA RAW MADEYA(BRAN FLOUR - UNPROCESSED),5,ihs5_conversion_factors_GO,118,MAIZE UFA RAW MADEYA (BRAN FLOUR - UNPROCESSED)
MWI,IHS5,119,"MAIZE, YELLOW FLOUR",5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,303,PEGION PEA (NANDOLO),5,ihs5_conversion_factors_GO,303,PIGEON PEA (NANDOLO)
MWI,IHS5,303,PIGEONPEA (NANDOLO),5,ihs5_conversion_factors_GO,303,PIGEON PEA (NANDOLO)
MWI,IHS5,303,"PIGEONPEA (NANDOLO), FRESH",5,ihs5_conversion_factors_GO,303,PIGEON PEA (NANDOLO)
MWI,IHS5,304,GROUND NUT (NUTS),5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,306,SOYBEAN FLOUR,5,ihs5_conversion_factors_GO,306,SOYABEAN FLOUR
MWI,IHS5,307,GROUNDBEAN (NZAMA),5,ihs5_conversion_factors_GO,307,GROUND BEAN (NZAMA)
MWI,IHS5,316,SPOTTED BEANS (DEMETTA/KENYATA),5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,401,ONION),5,ihs5_conversion_factors_GO,401,ONION
MWI,IHS5,411,OKRA,5,ihs5_conversion_factors_GO,411,OKRA / THERERE
MWI,IHS5,502,DRIED FISH,5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,503,FRESH FISH,5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,504,"BEEF, HAM",5,ihs5_conversion_factors_GO,504,BEEF
MWI,IHS5,506,"PORK, FILLET",5,ihs5_conversion_factors_GO,506,PORK
MWI,IHS5,508,"CHICKEN (TRADITIONALLY), BRED LIVE",5,ihs5_conversion_factors_GO,508,CHICKEN - WHOLE
MWI,IHS5,508,CHICKEN PIECE,5,ihs5_conversion_factors_GO,508,CHICKEN - WHOLE
MWI,IHS5,509,"OTHER POULTRY GUINEA FOWL, DOVES, ETC",5,ihs5_conversion_factors_GO,509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC"
MWI,IHS5,510,"SMALL ANIMAL / RABBIT, MICE, ETC",5,ihs5_conversion_factors_GO,510,"SMALL ANIMAL – RABBIT, MICE, ETC"
MWI,IHS5,511,"TERMITES, OTHER INSECTS EG NGUMBI, CATERPILLAR",5,ihs5_conversion_factors_GO,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)"
MWI,IHS5,522,CHICKEN BREAST WITHOUT SKIN,5,ihs5_conversion_factors_GO,522,CHICKEN - PIECES
MWI,IHS5,603,"CITRUS / NAARTJE, ORANGE, ETC",5,ihs5_conversion_factors_GO,603,"CITRUS – NAARTJE, ORANGE, ETC"
MWI,IHS5,608,"WILD FRUIT MASAU, MALAMBE, ETC",5,ihs5_conversion_factors_GO,608,"WILD FRUIT (MASAU, MALAMBE, ETC)"
MWI,IHS5,703,MARGARINE BLUE BAND,5,ihs5_conversion_factors_GO,703,MARGARINE - BLUE BAND
MWI,IHS5,705,CHAMBIKO SOURED MILK,5,ihs5_conversion_factors_GO,705,CHAMBIKO - SOURED MILK
MWI,IHS5,708,INFANT FEEDING FORMULA (BOTTLE),5,ihs5_conversion_factors_GO,708,INFANT FEEDING FORMULA (FOR BOTTLE)
MWI,IHS5,801,"SUGAR, WHITE",5,ihs5_conversion_factors_GO,801,SUGAR
MWI,IHS5,806,CINNAMON POWDER,5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,807,GINGER POWDER,5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,808,CURRY POWDER,5,ihs5_conversion_factors_GO,NA,NA
MWI,IHS5,816,"SWEETS, CANDY, CHOCOLATE",5,ihs5_conversion_factors_GO,816,"SWEETS, CANDY, CHOCOLATES"
MWI,IHS5,820,MAIZE BOILED OR ROASTED VENDOR,5,ihs5_conversion_factors_GO,820,MAIZE - BOILED OR ROASTED (VENDOR)
MWI,IHS5,821,CHIPS VENDOR,5,ihs5_conversion_factors_GO,821,CHIPS (VENDOR)
MWI,IHS5,822,CASSAVA BOILED VENDOR,5,ihs5_conversion_factors_GO,822,CASSAVA - BOILED (VENDOR)
MWI,IHS5,824,CHICKEN VENDOR,5,ihs5_conversion_factors_GO,824,CHICKEN (VENDOR)
MWI,IHS5,825,MEAT VENDOR,5,ihs5_conversion_factors_GO,825,MEAT (VENDOR)
MWI,IHS5,826,FISH VENDOR,5,ihs5_conversion_factors_GO,826,FISH (VENDOR)
MWI,IHS5,828,SAMOSA VENDOR,5,ihs5_conversion_factors_GO,828,SAMOSA (VENDOR)
MWI,IHS5,836,ZIKONDAMOYO NKATE,5,ihs5_conversion_factors_GO,836,ZIKONDAMOYO / NKATE
MWI,IHS5,837,KALONGONDA MUCUNA,5,ihs5_conversion_factors_GO,837,KALONGONDA (MUCUNA)
MWI,IHS5,838,CASSAVA ROASTED VENDOR,5,ihs5_conversion_factors_GO,838,CASSAVA - ROASTED (VENDOR)
MWI,IHS5,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE ETC)",5,ihs5_conversion_factors_GO,907,"SOFT DRINKS (COCA-COLA, FANTA, SPRITE, ETC)"
MWI,IHS5,911,"BOTTLED/CANNED BEER (CARLSBERG, ETC)",5,ihs5_conversion_factors_GO,911,"BOTTLED / CANNED BEER (CARLSBERG, ETC)"
MWI,IHS5,5021,SUNDRIED FISH LARGE VARIETY,5,ihs5_conversion_factors_GO,5021,SUN DRIED FISH (LARGE VARIETY)
MWI,IHS5,5022,SUNDRIED FISH MEDIUM VARIETY,5,ihs5_conversion_factors_GO,5022,SUN DRIED FISH (MEDIUM VARIETY)
MWI,IHS5,5023,SUNDRIED FISH SMALL VARIETY,5,ihs5_conversion_factors_GO,5023,SUN DRIED FISH (SMALL VARIETY)
MWI,IHS5,5031,FRESH FISH LARGE VARIETY,5,ihs5_conversion_factors_GO,5031,FRESH FISH (LARGE VARIETY)
MWI,IHS5,5032,FRESH FISH MEDIUM VARIETY,5,ihs5_conversion_factors_GO,5032,FRESH FISH (MEDIUM VARIETY)
MWI,IHS5,5033,FRESH FISH SMALL VARIETY,5,ihs5_conversion_factors_GO,5033,FRESH FISH (SMALL VARIETY)
MWI,IHS5,5121,SMOKED FISH LARGE VARIETY,5,ihs5_conversion_factors_GO,5121,SMOKED FISH (LARGE VARIETY)
MWI,IHS5,5122,SMOKED FISH MEDIUM VARIETY,5,ihs5_conversion_factors_GO,5122,SMOKED FISH (MEDIUM VARIETY)
MWI,IHS5,5123,SMOKED FISH SMALL VARIETY,5,ihs5_conversion_factors_GO,5123,SMOKED FISH (SMALL VARIETY)
MWI,IHS5,117,DORGHUM FLOUR,2,maps-team,108,SORGHUM (MAPIRA)
MWI,IHS5,117,IRISH POTATOES,2,maps-team,205,IRISH POTATO
MWI,IHS5,117,JIGGS,2,maps-team,NA,NA
MWI,IHS5,117,KAMBA,2,maps-team,NA,NA
MWI,IHS5,117,LAMBS PUFFS,2,maps-team,NA,NA
MWI,IHS5,117,MAPIRA,2,maps-team,108,SORGHUM (MAPIRA)
MWI,IHS5,117,NKHOWE,2,maps-team,NA,NA
MWI,IHS5,117,SNACKS,2,maps-team,NA,NA
MWI,IHS5,117,SOHGUM FLOUR (UFA),2,maps-team,108,SORGHUM (MAPIRA)
MWI,IHS5,117,SORGHUM FLOUR,2,maps-team,108,SORGHUM (MAPIRA)
MWI,IHS5,117,SOYA,2,maps-team,301,"BEAN, WHITE"
MWI,IHS5,117,TIGER PUFF SNACKS,2,maps-team,NA,NA
MWI,IHS5,209,BONONGWE,2,maps-team,404,NKHWANI
MWI,IHS5,209,CHILAZI,2,maps-team,NA,NA
