country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,OKRA / THERERE,411,OKRA / THERERE,mwi-ihs5-standard_food_list
MWI,IHS5,THERERE,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
MWI,IHS5,THERERE WACHINYOLOMONYA,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
MWI,IHS5,THERERE WAMASAMBA,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
MWI,IHS5,WILD THERERE,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
MWI,IHS5,TINNED VEGETABLES (SPECIFY),412,TINNED VEGETABLES (SPECIFY),mwi-ihs5-standard_food_list
MWI,IHS5,MUSHROOM,413,MUSHROOM,mwi-ihs5-standard_food_list
MWI,IHS5,EGGS,501,EGGS,mwi-ihs5-standard_food_list
MWI,IHS5,BEEF,504,BEEF,mwi-ihs5-standard_food_list
MWI,IHS5,ANTELOPE,505,GOAT,mwi-ihs5-non_standard_food_list
MWI,IHS5,GOAT,505,GOAT,mwi-ihs5-standard_food_list
MWI,IHS5,PORK,506,PORK,mwi-ihs5-standard_food_list
MWI,IHS5,MUTTON,507,MUTTON,mwi-ihs5-standard_food_list
MWI,IHS5,CHICKEN - WHOLE,508,CHICKEN - WHOLE,mwi-ihs5-standard_food_list
MWI,IHS5,BIRD,509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC",mwi-ihs5-non_standard_food_list
MWI,IHS5,DUCK,509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC",mwi-ihs5-non_standard_food_list
MWI,IHS5,NKHWALI,509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC",mwi-ihs5-non_standard_food_list
MWI,IHS5,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC",509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC",mwi-ihs5-standard_food_list
MWI,IHS5,"SMALL ANIMAL – RABBIT, MICE, ETC",510,"SMALL ANIMAL – RABBIT, MICE, ETC",mwi-ihs5-standard_food_list
MWI,IHS5,GRASSHOPPER,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",mwi-ihs5-non_standard_food_list
MWI,IHS5,LOCUST,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",mwi-ihs5-non_standard_food_list
MWI,IHS5,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",mwi-ihs5-standard_food_list
MWI,IHS5,TSETSENYA (LOOKS LIKE IMSECTS,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",mwi-ihs5-non_standard_food_list
MWI,IHS5,ZIWALA,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",mwi-ihs5-non_standard_food_list
MWI,IHS5,TINNED MEAT OR FISH,512,TINNED MEAT OR FISH,mwi-ihs5-standard_food_list
MWI,IHS5,FISH SOUP/SAUCE,514,FISH SOUP/SAUCE,mwi-ihs5-standard_food_list
MWI,IHS5,CHICKEN - PIECES,522,CHICKEN - PIECES,mwi-ihs5-standard_food_list
MWI,IHS5,MANGO,601,MANGO,mwi-ihs5-standard_food_list
MWI,IHS5,PEACHES,601,MANGO,mwi-ihs5-non_standard_food_list
MWI,IHS5,BANANA,602,BANANA,mwi-ihs5-standard_food_list
MWI,IHS5,"CITRUS – NAARTJE, ORANGE, ETC",603,"CITRUS – NAARTJE, ORANGE, ETC",mwi-ihs5-standard_food_list
MWI,IHS5,LEMON,603,"CITRUS – NAARTJE, ORANGE, ETC",mwi-ihs5-non_standard_food_list
MWI,IHS5,NANAZI,604,PINEAPPLE,mwi-ihs5-non_standard_food_list
MWI,IHS5,PINEAPPLE,604,PINEAPPLE,mwi-ihs5-standard_food_list
MWI,IHS5,PAPAYA,605,PAPAYA,mwi-ihs5-standard_food_list
MWI,IHS5,GUAVA,606,GUAVA,mwi-ihs5-standard_food_list
MWI,IHS5,GUAVAS,606,GUAVA,mwi-ihs5-non_standard_food_list
MWI,IHS5,AVOCADO,607,AVOCADO,mwi-ihs5-standard_food_list
MWI,IHS5,WILD FRUIT,608,"WILD FRUIT (MASAU, MALAMBE, ETC)",mwi-ihs5-non_standard_food_list
MWI,IHS5,"WILD FRUIT (MASAU, MALAMBE, ETC)",608,"WILD FRUIT (MASAU, MALAMBE, ETC)",mwi-ihs5-standard_food_list
MWI,IHS5,WILD LOQUAT,608,"WILD FRUIT (MASAU, MALAMBE, ETC)",mwi-ihs5-non_standard_food_list
MWI,IHS5,WILD PASSION FRUIT,608,"WILD FRUIT (MASAU, MALAMBE, ETC)",mwi-ihs5-non_standard_food_list
MWI,IHS5,APPLE,609,APPLE,mwi-ihs5-standard_food_list
MWI,IHS5,CUSTARD APPLE,609,APPLE,mwi-ihs5-non_standard_food_list
MWI,IHS5,MAXICAN APPLE,609,APPLE,mwi-ihs5-non_standard_food_list
MWI,IHS5,MEAN APPLE,609,APPLE,mwi-ihs5-non_standard_food_list
MWI,IHS5,MEXICAN APPLE,609,APPLE,mwi-ihs5-non_standard_food_list
MWI,IHS5,OTHER FRUITS (SPECIFY),610,OTHER FRUITS (SPECIFY),mwi-ihs5-standard_food_list
MWI,IHS5,FIRST CHOICE MILK,701,FRESH MILK,mwi-ihs5-non_standard_food_list
MWI,IHS5,FRESH MILK,701,FRESH MILK,mwi-ihs5-standard_food_list
MWI,IHS5,POWDERED MILK,702,POWDERED MILK,mwi-ihs5-standard_food_list
MWI,IHS5,MARGARINE - BLUE BAND,703,MARGARINE - BLUE BAND,mwi-ihs5-standard_food_list
MWI,IHS5,BUTTER,704,BUTTER,mwi-ihs5-standard_food_list
MWI,IHS5,CHAMBIKO - SOURED MILK,705,CHAMBIKO - SOURED MILK,mwi-ihs5-standard_food_list
MWI,IHS5,YOGHURT,706,YOGHURT,mwi-ihs5-standard_food_list
MWI,IHS5,CHEESE,707,CHEESE,mwi-ihs5-standard_food_list
